"Inicio del informe","Fin del informe","Nombre de la campaña",Plataforma,Ubicación,"Plataforma de dispositivos","Dispositivo de la impresión",Inicio,Finalización,"Importe gastado (MXN)",Alcance,Frecuencia,Impresiones,"Clics en el enlace",Resultados,"Indicador de resultado","Costo por resultados","Costo por mil personas alcanzadas (MXN)","CPC (costo por clic en el enlace) (MXN)","Clientes potenciales","Clientes potenciales en Facebook","Registros completados","Registros completados en el sitio web","Clientes potenciales en el sitio web"
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares","Smartphone Android",2020-05-01,2020-05-31,18.84,89,1,89,2,,,,211.68539326,9.42,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,"App para celulares",iPhone,2020-05-01,2020-05-31,1.13,25,1.04,26,1,,,,45.2,1.13,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,2.04,45,1.0444444444444,47,,,,,45.33333333,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,Computadora,Computadora,2020-05-01,2020-05-31,0.03,5,1.2,6,,,,,6,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Video instream","App para celulares",iPhone,2020-05-01,2020-05-31,0.02,1,1,1,,,,,20,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Artículos instantáneos","App para celulares",iPhone,2020-05-01,2020-05-31,1.15,31,1.0645161290323,33,,,,,37.09677419,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Artículos instantáneos","App para celulares","Smartphone Android",2020-05-01,2020-05-31,2.74,42,1.0238095238095,43,1,,,,65.23809524,2.74,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias","App para celulares",iPhone,2020-05-01,2020-05-31,57.97,299,1.0869565217391,325,6,1,actions:onsite_conversion.lead_grouped,57.97,193.87959866,9.66166667,1,1,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias","App para celulares","Tableta Android",2020-05-01,2020-05-31,0.2,5,1.2,6,,,,,40,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias","App para celulares","Smartphone Android",2020-05-01,2020-05-31,51.44,364,1.0686813186813,389,7,1,actions:onsite_conversion.lead_grouped,51.44,141.31868132,7.34857143,1,1,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias",Computadora,Computadora,2020-05-01,2020-05-31,0.89,7,1.1428571428571,8,,,,,127.14285714,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Stories,"App para celulares",iPhone,2020-05-01,2020-05-31,1.52,7,1,7,,,,,217.14285714,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Stories,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,1.14,2,1,2,,,,,570,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares",iPhone,2020-05-01,2020-05-31,59.57,851,1.0117508813161,861,3,,,,70,19.85666667,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares",iPad,2020-05-01,2020-05-31,1.41,9,1,9,,,,,156.66666667,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares","Tableta Android",2020-05-01,2020-05-31,0.34,5,1,5,,,,,68,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,88.93,995,1.0090452261307,1004,14,,,,89.37688442,6.35214286,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Explorar,"App para celulares",iPhone,2020-05-01,2020-05-31,1.8,14,1,14,,,,,128.57142857,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Explorar,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,1.24,19,1,19,,,,,65.26315789,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares",iPhone,2020-05-01,2020-05-31,33.09,137,1.014598540146,139,3,,,,241.53284672,11.03,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares",iPad,2020-05-01,2020-05-31,0.08,1,1,1,,,,,80,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares","Tableta Android",2020-05-01,2020-05-31,0.05,1,1,1,,,,,50,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares","Smartphone Android",2020-05-01,2020-05-31,12.17,95,1,95,,,,,128.10526316,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,"App para celulares",iPhone,2020-05-01,2020-05-31,1.84,29,1.0344827586207,30,,,,,63.44827586,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,1.11,42,1.1428571428571,48,2,,,,26.42857143,0.555,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,Computadora,Computadora,2020-05-01,2020-05-31,0.01,4,1.25,5,,,,,2.5,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Artículos instantáneos","App para celulares",iPhone,2020-05-01,2020-05-31,1.62,54,1.0740740740741,58,,,,,30,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Artículos instantáneos","App para celulares","Smartphone Android",2020-05-01,2020-05-31,3.67,76,1.0394736842105,79,,,,,48.28947368,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias","App para celulares",iPhone,2020-05-01,2020-05-31,45.83,305,1.1245901639344,343,5,,,,150.26229508,9.166,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias","App para celulares","Tableta Android",2020-05-01,2020-05-31,0.82,5,1,5,,,,,164,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias","App para celulares","Smartphone Android",2020-05-01,2020-05-31,50.21,375,1.0906666666667,409,3,1,actions:onsite_conversion.lead_grouped,50.21,133.89333333,16.73666667,1,1,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias",Computadora,Computadora,2020-05-01,2020-05-31,0.13,3,1,3,,,,,43.33333333,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Stories,"App para celulares",iPhone,2020-05-01,2020-05-31,0.08,3,1,3,,,,,26.66666667,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Stories,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,0.09,2,1,2,,,,,45,,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares",iPhone,2020-05-01,2020-05-31,77.73,1308,1.0175840978593,1331,9,1,actions:onsite_conversion.lead_grouped,77.73,59.4266055,8.63666667,1,1,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares",iPad,2020-05-01,2020-05-31,1.43,17,1,17,1,,,,84.11764706,1.43,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares","Tableta Android",2020-05-01,2020-05-31,0.91,7,1,7,,,,,130,,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,106.53,2082,1.0105667627281,2104,20,4,actions:onsite_conversion.lead_grouped,26.6325,51.16714697,5.3265,4,4,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Explorar,"App para celulares",iPhone,2020-05-01,2020-05-31,1.2,20,1,20,1,,,,60,1.2,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Explorar,"App para celulares",iPad,2020-05-01,2020-05-31,0.15,1,1,1,,,,,150,,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Explorar,"App para celulares","Tableta Android",2020-05-01,2020-05-31,0.58,1,1,1,,,,,580,,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Explorar,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,1.52,29,1,29,1,,,,52.4137931,1.52,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares",iPhone,2020-05-01,2020-05-31,17.68,99,1.010101010101,100,2,1,actions:onsite_conversion.lead_grouped,17.68,178.58585859,8.84,1,1,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares",iPad,2020-05-01,2020-05-31,0.09,2,1,2,,,,,45,,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares","Tableta Android",2020-05-01,2020-05-31,0.33,2,1,2,,,,,165,,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares","Smartphone Android",2020-05-01,2020-05-31,7.85,85,1,85,2,,,,92.35294118,3.925,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,"App para celulares",iPhone,2020-05-01,2020-05-31,0.7,27,1.037037037037,28,,,,,25.92592593,,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,0.8,31,1.0645161290323,33,,,,,25.80645161,,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,Computadora,Computadora,2020-05-01,2020-05-31,0.01,5,1.2,6,,,,,2,,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Artículos instantáneos","App para celulares",iPhone,2020-05-01,2020-05-31,2.5,43,1,43,1,,,,58.13953488,2.5,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Artículos instantáneos","App para celulares","Smartphone Android",2020-05-01,2020-05-31,2.2,67,1.0746268656716,72,,,,,32.8358209,,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias","App para celulares",iPhone,2020-05-01,2020-05-31,48.06,299,1.1538461538462,345,7,4,actions:onsite_conversion.lead_grouped,12.015,160.73578595,6.86571429,4,4,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias","App para celulares","Tableta Android",2020-05-01,2020-05-31,0.24,6,1,6,,,,,40,,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias","App para celulares","Smartphone Android",2020-05-01,2020-05-31,44.84,483,1.0621118012422,513,6,,,,92.83643892,7.47333333,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias",Computadora,Computadora,2020-05-01,2020-05-31,1.54,8,1,8,,,,,192.5,,,,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Stories,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,0.77,4,1,4,,,,,192.5,,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares",iPhone,2020-05-01,2020-05-31,86.93,1600,1.01375,1622,10,1,actions:onsite_conversion.lead_grouped,86.93,54.33125,8.693,1,1,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares",iPad,2020-05-01,2020-05-31,3.46,20,1,20,,,,,173,,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares","Tableta Android",2020-05-01,2020-05-31,0.16,8,1,8,,,,,20,,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,98.21,1929,1.016588906169,1961,19,2,actions:onsite_conversion.lead_grouped,49.105,50.91238984,5.16894737,2,2,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Explorar,"App para celulares",iPhone,2020-05-01,2020-05-31,0.75,12,1,12,1,,,,62.5,0.75,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Explorar,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,1.02,27,1,27,,,,,37.77777778,,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares",iPhone,2020-05-01,2020-05-31,8,64,1.015625,65,1,,,,125,8,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares",iPad,2020-05-01,2020-05-31,0.51,4,1,4,,,,,127.5,,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares","Tableta Android",2020-05-01,2020-05-31,0.23,1,1,1,1,,,,230,0.23,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares","Smartphone Android",2020-05-01,2020-05-31,4.32,43,1,43,,,,,100.46511628,,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,"App para celulares",iPhone,2020-05-01,2020-05-31,0.84,18,1.0555555555556,19,,,,,46.66666667,,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,0.82,32,1.0625,34,,,,,25.625,,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,Computadora,Computadora,2020-05-01,2020-05-31,0.04,6,1,6,,,,,6.66666667,,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Artículos instantáneos","App para celulares",iPhone,2020-05-01,2020-05-31,1.69,41,1.0487804878049,43,,,,,41.2195122,,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Artículos instantáneos","App para celulares","Smartphone Android",2020-05-01,2020-05-31,2.64,70,1,70,,,,,37.71428571,,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias","App para celulares",iPhone,2020-05-01,2020-05-31,52.44,428,1.1471962616822,491,3,,,,122.52336449,17.48,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias","App para celulares","Tableta Android",2020-05-01,2020-05-31,0.55,2,1.5,3,,,,,275,,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias","App para celulares","Smartphone Android",2020-05-01,2020-05-31,56.24,716,1.0963687150838,785,8,,,,78.54748603,7.03,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Feed: sección de noticias",Computadora,Computadora,2020-05-01,2020-05-31,1.14,5,1,5,,,,,228,,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Stories,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,0.39,4,1,4,,,,,97.5,,,,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares",iPod,2020-05-01,2020-05-31,0.03,1,1,1,,,,,30,,,,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares",iPhone,2020-05-01,2020-05-31,98.92,1384,1.0101156069364,1398,11,2,actions:onsite_conversion.lead_grouped,49.46,71.47398844,8.99272727,2,2,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares",iPad,2020-05-01,2020-05-31,2.46,20,1,20,,,,,123,,,,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares","Tableta Android",2020-05-01,2020-05-31,0.03,2,1,2,,,,,15,,,,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Stories,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,99.69,1590,1.0125786163522,1610,14,,,,62.69811321,7.12071429,,,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Explorar,"App para celulares",iPhone,2020-05-01,2020-05-31,1.09,11,1,11,2,,,,99.09090909,0.545,,,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,Explorar,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,1.11,14,1,14,,,,,79.28571429,,,,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares",iPhone,2020-05-01,2020-05-31,15.76,62,1,62,,,,,254.19354839,,,,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares",iPad,2020-05-01,2020-05-31,0.06,1,1,1,,,,,60,,,,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Instagram,"Feed: sección de noticias","App para celulares","Smartphone Android",2020-05-01,2020-05-31,4.79,53,1,53,,,,,90.37735849,,,,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,"App para celulares",iPhone,2020-05-01,2020-05-31,0.93,22,1,22,,,,,42.27272727,,,,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,"App para celulares","Smartphone Android",2020-05-01,2020-05-31,0.6,31,1.0322580645161,32,,,,,19.35483871,,,,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,Marketplace,Computadora,Computadora,2020-05-01,2020-05-31,0.13,8,1,8,,,,,16.25,,,,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,Facebook,"Video instream","App para celulares","Smartphone Android",2020-05-01,2020-05-31,0.02,1,1,1,,,,,20,,,,,,
