KPI
1 de mayo de 2020 - 30 de mayo de 2020
Campaña,Mes,Fecha de inicio,Fecha de finalización,Día,Región (ubicación del usuario),Moneda,Costo,Impresiones,Clics,Conversiones,CPC prom.,Costo/conv.
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-19,Departamento de Lima,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-25,País Vasco,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-01,Huaral,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-12,Misuri,MXN,0.00,6,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-24,Risaralda,MXN,0.00,3,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-08,Nuevo León,MXN,4.20,11,1,0.00,4.20,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-26,Huánuco,MXN,0.00,3,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-27,Nuevo León,MXN,0.00,8,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-08,Provincia de Santa Fe,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-23,Provincia del Chaco,MXN,0.00,2,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-19,Granada,MXN,0.00,2,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-15,California,MXN,0.00,1,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-17,California,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-14,Misiones,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-29,Java Central,MXN,0.00,2,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-26,Área de la Bahía de San Francisco,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-12,Provincia de León,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-10,Querétaro,MXN,0.00,3,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-06,Michoacán,MXN,0.00,2,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-08,Michoacán,MXN,0.00,3,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-12,Territorio de la Unión de Naypyidaw,MXN,0.00,1,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-25,Madrid,MXN,0.00,4,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-19,Baja California Sur,MXN,0.00,3,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-18,Tabasco,MXN,0.00,1,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-13,Departamento de Santa Cruz,MXN,0.00,1,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-08,Guerrero,MXN,10.81,4,1,0.00,10.81,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-01,Cundinamarca,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-29,Distrito de Viana do Castelo,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-09,Sonora,MXN,0.00,19,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-29,Ontario,MXN,7.10,4,1,0.00,7.10,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-17,Michigan,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-19,Santo Domingo,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-24,Massachusetts,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-26,Guatemala,MXN,0.00,8,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-14,Gran Manila,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-28,Quintana Roo,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-14,Baja California Sur,MXN,1.46,2,1,0.00,1.46,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-22,Madrid,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-28,Michigan,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-09,Texas,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-25,Valparaíso,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-06,Málaga,MXN,1.57,1,1,0.00,1.57,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-29,Baja California,MXN,0.00,11,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-10,San Salvador,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-17,Java Central,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-16,Nunavut,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-08,Java Central,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-07,Guyarat,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-02,Región de Sus-Masa,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-09,Provincia de Sevilla,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-21,Dubái,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-10,Ahuachapán,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-13,California,MXN,0.00,6,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-02,Vizcaya,MXN,2.50,7,1,0.00,2.50,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-29,California,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-19,Miranda,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-14,Provincia de Adana,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-08,País Vasco,MXN,0.00,4,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-03,Puebla,MXN,0.00,7,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-07,Estuario,MXN,0.00,4,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-05,Estado de México,MXN,105.86,543,18,0.00,5.88,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-12,Granada,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-23,Provincia de Veraguas,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-16,Carabobo,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-29,Guadalajara,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-23,Oaxaca,MXN,0.00,2,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-11,Canarias,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-12,Chittagong,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-26,Bali,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-26,Julcan,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-12,Illinois,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-15,Maryland,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-17,San Luis Potosí,MXN,0.00,1,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-04,Washington,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-18,San José,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-08,California,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-20,Bérgamo,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-06,Cantabria,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-05,Sinaloa,MXN,0.00,1,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-13,Provincia de Västra Götaland,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-11,Departamento de Lavalleja,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-17,La Meca,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-10,Nevada,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-07,Óblast de Vladímir,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-29,Granada,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-10,Colima,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-06,Florida,MXN,0.00,4,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-10,Huesca,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-25,Pichincha,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-14,Nunavut,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-02,Distrito Capital,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-13,Provincia de Tucumán,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-21,Columbia Británica,MXN,0.00,1,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-04,Illinois,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-03,Departamento de Florida,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-03,Pichincha,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-13,Provincia de Santa Fe,MXN,0.00,2,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-22,Baja California Sur,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-06,Departamento de Lima,MXN,0.00,10,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-09,Puebla,MXN,6.16,4,1,0.00,6.16,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-06,Hesse,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-06,Nunavut,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-16,Provincia de Papúa Occidental,MXN,0.00,2,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-19,Estado de Río de Janeiro,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-07,Quintana Roo,MXN,0.00,3,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-20,Ciudad de México,MXN,120.99,561,18,0.00,6.72,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-18,Colima,MXN,0.00,1,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-10,Hesse,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-12,Norte de Santander,MXN,0.00,5,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-11,Provincia de Diyarbakır,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-15,Nueva Jersey,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-09,Maryland,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-12,Departamento de Francisco Morazán,MXN,0.00,1,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-04,Distrito de Columbia,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-28,Pontevedra,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-17,San Cristóbal,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-09,Jalisco,MXN,0.00,7,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-28,Veracruz,MXN,0.00,24,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-29,Comunidad Valenciana,MXN,0.00,7,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-21,Departamento de Lima,MXN,0.00,4,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-14,Sánchez Ramírez,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-23,Jalisco,MXN,0.57,36,1,0.00,0.57,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-04,Constantina,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-28,Manabí,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-03,Selangor,MXN,0.00,2,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-10,Dacca,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-07,Java Central,MXN,0.00,6,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-14,Estado de Río de Janeiro,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-06,Ciudad Real,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-09,Carolina del Norte,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-17,Gobernación de Beni Suef,MXN,0.00,1,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-14,Tabasco,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-11,Johor,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-13,Veracruz,MXN,1.14,84,1,0.00,1.14,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-25,Provincia de Santa Fe,MXN,0.00,3,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-18,Tolima,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-15,Provincia de Samsun,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-26,Chihuahua,MXN,0.00,11,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-18,Alicante,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-09,Isla de Francia,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-05,Nunavut,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-29,Rocha,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-25,Ciudad de México,MXN,37.51,"2,703",27,0.00,1.39,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-08,Provincia de Cartago,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-05,Michigan,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-12,Guanajuato,MXN,0.00,179,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-18,Santa Ana,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-20,Extremadura,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-13,Florida,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-16,La Paz,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-03,Provincia de Mendoza,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-08,Óblast de Uliánovsk,MXN,0.00,1,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-08,Yucatán,MXN,0.00,1,0,0.00,0.00,0.00
